公司名稱,公司產品,職稱,公司所在縣市
"台灣三星電子股份有限公司
                    ","以人才和技術為基礎
創造最佳產品和服務
為人類社會做出貢獻


[注意:請勿向台灣三星透露任何過去從您工作的公司中所知悉的營業機密。在您面試過程中，如所提問的問題涉及到您工作過的公司營業機密時，您有權拒絕回答。]","89     Display Driver IC Digital Designer(小尺寸)
264               Design Verification Engineer
Name: job_name, dtype: object","89     新竹縣
264    新竹縣
Name: company_addr, dtype: object"
"台灣亞德諾半導體股份有限公司
                    ","主要包括一般性、標準功能的線性IC、訊號混合IC（Mix Signal IC)、系統IC、最新數位訊號處理器的IC(DSPs)、D/A & A/D 轉換器(Converter)及一些高密度結合具特定功能之積體電路(ASIC)。ADI是轉換器供應商的龍頭,在全球的資料轉換器市場中，以47.5%的佔有率居於世界第一的領先地位。","47     高級韌體工程師 Senior Engineer, Firmware (Battery and...
90     Senior Engineer, Product Applications (Battery...
158    (2023 New College Grad) Applications Engineer(...
214    (2023 New College Grad) Applications Engineer(...
Name: job_name, dtype: object","47     台北市
90     台北市
158    台北市
214    台北市
Name: company_addr, dtype: object"
"台灣富士通科技股份有限公司
                    ",Enterprise Server,"190    【FTTCL】Software Developer - FH-2459
Name: job_name, dtype: object","190    台北市
Name: company_addr, dtype: object"
"台灣愛立信股份有限公司
                    ","1.專業進取  (Professionalism) 
秉持客戶及目標導向的精神，提供全球客戶最具品質及競爭力的產品及服務	
2.尊愛至誠  (Respect)
營造開放自在的工作氣氛，讓人與人之間的關懷及信任得以發揮
3.鍥而不捨  (Perseverance) 
以堅毅的態度面對變動的外在環境，鼓勵技術的創新及改革，成就長遠的目標","92                   DevOps Engineer
134    Data Engineer 開發運維(DevOps)工程師
Name: job_name, dtype: object","92     新北市
134    新北市
Name: company_addr, dtype: object"
"台灣歌爾泰克有限公司
                    ",GoerTek 歌爾集團致力於建設和鞏固「品質、可靠、創新」的企業形象和企業文化。強調團隊合作精神、鼓勵組織互動；為員工提供自我發展和自我價值實現的平台，為客戶提供高利潤及高效益的產品發展。,"234    圖像演算法工程師/主管
Name: job_name, dtype: object","234    台北市
Name: company_addr, dtype: object"
"台灣經濟新報文化事業股份有限公司
                    ","

▋ TEJ - 解決方案  ▋   https://www.tej.com.tw/solution

§   ◤ESG永續◢  §  ◤ 信用風險 ◢  §  ◤ 法遵科技 ◢  §

§  ◤企業商情◢  §   ◤ 投資分析 ◢  §  ◤ 評價分析 ◢  §


▋ TEJ - 資料銀行  ▋   https://www.tej.com.tw/dataBank

◤ 企業營運資訊 ◢
　∴ 公司基本資料及重大訊息
　∴ 董監事大股東、股本變動及股利政策
　∴ 企業投資資訊、月營收及產銷組合
◤ 企業財務資訊 ◢
　∴  IFRS財務報表 - TEJ獨家！
◤ 證券金融市場資訊 ◢
　∴ 股票市場
　∴ 基金市場
　∴ 債券市場
　∴ 衍生性金融商品債券市場
◤ 總經及商品原物料 ◢
　∴ 總經及商品原物料


---------------------------------------------------------------

▋ TEJ - 金融資料分析、金融新知、財金研究院、知識集    ▋

▲   Medium  ▲ Facebook  ▲Instagram ▲ Linkedin  ▲ Youtube ▲ 

- TEJ Linktree -  https://linktr.ee/tej87681088

","263    ESG專案資料分析_副研究員
Name: job_name, dtype: object","263    台北市
Name: company_addr, dtype: object"
"台達電子工業股份有限公司 _DELTA ELECTRONICS INC.
                    ","【企業文化】
◎創新：有效創新 成功實現
◎品質：精益求精 追求卓越
◎敏捷：洞察趨勢 速掌新機
◎團隊合作：全球整合 達成共贏
◎顧客滿意：預知需求 超越期待","220    NLP Engineer _Delta Research Center (HsinChu)
Name: job_name, dtype: object","220    新竹市
Name: company_addr, dtype: object"
"域動行銷股份有限公司
                    ","域動行銷以熱情、活力、專業，展現我們對數位媒體領域的強烈企圖心，並以「數據」為發展主軸
掌握最新數位趨勢，早一步提供廣告主最適當的數位媒體解決方案。

數位媒體每分每秒都在改變，當數位多媒體已經是你生活重心時，你還在等什麼？
域動秉持著開放與分享的態度，召集和我們一樣對數位媒體懷抱熱忱的你，讓我們一同運用大數據的分析智慧，讓行銷變得精采、有趣吧！
歡迎一起加入這個正在浪潮上的產業，和我們一起乘風破浪！

期待未來．期待精采
","87              【產品處】數據應用產品 (副總監/經理/副理)
211    【產品處】AI工程師/資料科學家/機器學習工程師 (可遠端作業)
Name: job_name, dtype: object","87     台北市
211    台北市
Name: company_addr, dtype: object"
"基龍米克斯生物科技股份有限公司
                    ",本公司秉持企業經營一貫之誠信原則，並加強專業知識為客戶服務。,"73    生物資訊工程師
Name: job_name, dtype: object","73    新北市
Name: company_addr, dtype: object"
"大鵬科技股份有限公司
                    ","1. 智慧家庭安全系統（smart home security systems）：智慧居家保全閘道器（gateway）及相關配件，如無線熱感及煙霧偵測器、PIR感測相機、無線門窗感應器、水位預警器等
2. 家庭自動化系統（home automation systems）：溫度顯示、家電控制及燈光控制等配件，如智慧插座及情境調光控制器等。
3. 智慧居家長照產品（smart care systems）：無線緊急通報系統（medical alarm systems）及相關配件，如緊急按鈕、跌倒偵測器、GPS定位追蹤器等。
4. 智慧城市與物聯網配件（smart city & IoT devices）
5. 智慧居家保全／居家照護線上平台建置服務：使用者可透過電腦或手機app連線至平台，隨時隨地以更便利的方式來操作智慧家庭系統。
","159    軟體測試工程師
Name: job_name, dtype: object","159    台北市
Name: company_addr, dtype: object"
